
=== A new 24 hour measurement started at: 2023-02-27 21:18:01===
=== 24h Measurement finished at: 2023-02-27 23:59:56 with power use: 0.00 Wh ===
=== A new 24 hour measurement started at: 2023-02-27 23:59:58===
=== 24h Measurement finished at: 2023-02-28 23:59:56 with power use: 25.08 Wh ===
=== A new 24 hour measurement started at: 2023-02-28 23:59:58===
=== 24h Measurement finished at: 2023-03-01 23:59:55 with power use: 2404.65 Wh ===
=== A new 24 hour measurement started at: 2023-03-01 23:59:57===
=== A new 24 hour measurement started at: 2023-03-02 13:39:28===
=== 24h Measurement finished at: 2023-03-02 23:59:56 with power use: 982.42 Wh ===
=== A new 24 hour measurement started at: 2023-03-02 23:59:58===
=== 24h Measurement finished at: 2023-03-03 23:59:55 with power use: 0.00 Wh ===
=== A new 24 hour measurement started at: 2023-03-03 23:59:57===
=== 24h Measurement finished at: 2023-03-05 23:59:55 with power use: 1957.15 Wh ===
=== A new 24 hour measurement started at: 2023-03-05 23:59:58===
2023-03-06 18:17:10	1678126631	0.44	0.287	0.125	0.149	4
2023-03-06 18:17:11	1678126632	0.44	0.287	0.125	0.149	4
2023-03-06 18:17:12	1678126633	0.44	0.287	0.125	0.149	4
2023-03-06 18:17:13	1678126634	0.40	0.287	0.125	0.149	4
2023-03-06 18:17:14	1678126635	0.33	0.287	0.125	0.149	4
2023-03-06 18:17:15	1678126636	0.33	0.287	0.125	0.149	4
2023-03-06 18:17:16	1678126637	0.33	0.287	0.125	0.149	4
2023-03-06 18:17:18	1678126638	0.37	0.287	0.125	0.149	4
2023-03-06 18:17:19	1678126640	0.37	0.287	0.125	0.149	4
2023-03-06 18:17:20	1678126641	0.40	0.287	0.125	0.149	4
2023-03-06 18:17:21	1678126642	0.40	0.287	0.125	0.149	4
2023-03-06 18:17:22	1678126643	0.40	0.287	0.125	0.149	4
2023-03-06 18:17:23	1678126644	0.42	0.287	0.125	0.149	4
2023-03-06 18:17:24	1678126645	0.43	0.287	0.125	0.149	4
2023-03-06 18:17:25	1678126646	0.55	0.287	0.125	0.149	4
2023-03-06 18:17:26	1678126647	0.55	0.287	0.125	0.149	4
2023-03-06 18:17:27	1678126648	0.55	0.287	0.125	0.149	4
2023-03-06 18:17:28	1678126649	0.55	0.287	0.125	0.149	4
2023-03-06 18:17:29	1678126650	0.55	0.287	0.125	0.149	4
